Code HB ,Locality,PracticeID,BNFCode,BNFName,Items,NIC,ActCost,Quantity,DDD,ADQ,Period,Health Board,date
7A6,6A1,W93004,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,72.4,67.0404,30,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6B2,W00005,1502010J0BSAAEL,Versatis_Medic Plastr 5%,2,144.8,134.0808,60,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6B2,W93011,1502010J0BSAAEL,Versatis_Medic Plastr 5%,2,144.8,134.0808,60,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6B2,W93064,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,36.2,33.5264,15,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6B2,W95065,1502010J0BSAAEL,Versatis_Medic Plastr 5%,2,144.8,134.0808,60,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6B9,W93018,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,72.4,67.0404,30,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6B9,W93045,1502010J0BSAAEL,Versatis_Medic Plastr 5%,2,144.8,134.0808,60,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6B9,W93061,1502010J0BSAAEL,Versatis_Medic Plastr 5%,2,144.8,134.0808,60,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6B9,W93116,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,72.4,67.0404,30,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6C2,W93032,1502010J0BSAAEL,Versatis_Medic Plastr 5%,2,120.67,111.7412,50,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6C2,W93035,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,36.2,33.5264,15,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6C2,W93115,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,72.4,67.0404,30,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6C2,W93619,1502010J0BSAAEL,Versatis_Medic Plastr 5%,2,48.26,44.704,20,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6C3,W93028,1502010J0BSAAEL,Versatis_Medic Plastr 5%,3,72.39,67.056,30,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6C3,W93031,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,72.4,67.0404,30,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A6,6C3,W93055,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,72.4,67.0404,30,0,0,202001,ANEURIN BEVAN UNIVERSITY HEALTH BOARD,01.01.2020
7A4,6A8,W97002,1502010J0BSAAEL,Versatis_Medic Plastr 5%,2,144.8,134.0808,60,0,0,202001,CARDIFF AND VALE UNIVERSITY HEALTH BOARD,01.01.2020
7A4,6A8,W97015,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,72.4,67.0404,30,0,0,202001,CARDIFF AND VALE UNIVERSITY HEALTH BOARD,01.01.2020
7A4,6A8,W97021,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,72.4,67.0404,30,0,0,202001,CARDIFF AND VALE UNIVERSITY HEALTH BOARD,01.01.2020
7A4,6A8,W97059,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,144.8,134.0683,60,0,0,202001,CARDIFF AND VALE UNIVERSITY HEALTH BOARD,01.01.2020
7A4,6A8,W97061,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,72.4,67.0404,30,0,0,202001,CARDIFF AND VALE UNIVERSITY HEALTH BOARD,01.01.2020
7A4,6A8,W97286,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,72.4,67.0404,30,0,0,202001,CARDIFF AND VALE UNIVERSITY HEALTH BOARD,01.01.2020
7A4,6B6,W97001,1502010J0BSAAEL,Versatis_Medic Plastr 5%,3,217.2,201.1212,90,0,0,202001,CARDIFF AND VALE UNIVERSITY HEALTH BOARD,01.01.2020
7A4,6B6,W97003,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,132.73,122.8939,55,0,0,202001,CARDIFF AND VALE UNIVERSITY HEALTH BOARD,01.01.2020
7A4,6B6,W97011,1502010J0BSAAEL,Versatis_Medic Plastr 5%,3,217.2,201.1212,90,0,0,202001,CARDIFF AND VALE UNIVERSITY HEALTH BOARD,01.01.2020
7A4,6B6,W97055,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,72.4,67.0404,30,0,0,202001,CARDIFF AND VALE UNIVERSITY HEALTH BOARD,01.01.2020
7A2,6A3,W00067,1502010J0BSAAEL,Versatis_Medic Plastr 5%,3,168.93,156.4328,70,0,0,202001,HYWEL DDA UNIVERSITY HEALTH BOARD,01.01.2020
7A2,6A3,W92002,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,0.0,0.0124,30,0,0,202001,HYWEL DDA UNIVERSITY HEALTH BOARD,01.01.2020
7A2,6A3,W92027,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,72.4,67.0404,30,0,0,202001,HYWEL DDA UNIVERSITY HEALTH BOARD,01.01.2020
7A2,6A3,W92033,1502010J0BSAAEL,Versatis_Medic Plastr 5%,1,0.0,0.0124,30,0,0,202001,HYWEL DDA UNIVERSITY HEALTH BOARD,01.01.2020
